state,code,isocode,
Alaska,AK,US-AK,
Alabama,AL,US-AL,
Arkansas,AR,US-AR,
American Samoa,AS,US-AS,
Arizona,AZ,US-AZ,
California (North),CAN,US-CA,
California (South),CAS,US-CA,
Colorado,CO,US-CO,
Connecticut,CT,US-CT,
District of Columbia,DC,US-DC,
Delaware,DE,US-DE,
Florida,FL,US-FL,
Georgia,GA,US-GA,
Guam,GU,US-GU,
Hawaii,HI,US-HI,
Iowa,IA,US-IA,
Idaho,ID,US-ID,
Illinois,IL,US-IL,
Indiana,IN,US-IN,
Kansas,KS,US-KS,
Kentucky,KY,US-KY,
Louisiana,LA,US-LA,
Massachusetts,MA,US-MA,
Maryland,MD,US-MD,
Maine,ME,US-ME,
Michigan,MI,US-MI,
Minnesota,MN,US-MN,
Missouri,MO,US-MO,
Northern Mariana Islands,MP,US-MP,
Mississippi,MS,US-MS,
Montana,MT,US-MT,
North Carolina,NC,US-NC,
North Dakota,ND,US-ND,
Nebraska,NE,US-NE,
New Hampshire,NH,US-NH,
New Jersey,NJ,US-NJ,
New Mexico,NM,US-NM,
Nevada,NV,US-NV,
New York,NY,US-NY,
Ohio,OH,US-OH,
Oklahoma,OK,US-OK,
Oregon,OR,US-OR,
Pennsylvania,PA,US-PA,
Puerto Rico,PR,US-PR,
Rhode Island,RI,US-RI,
South Carolina,SC,US-SC,
South Dakota,SD,US-SD,
Tennessee,TN,US-TN,
Texas (North),TXN,US-TX,
Texas (South,TXS,US-TX,
United States Minor Outlying Islands,UM,US-UM,
Utah,UT,US-UT,
Virginia,VA,US-VA,
"Virgin Islands, U.S.",VI,US-VI,
Vermont,VT,US-VT,
Washington,WA,US-WA,
Wisconsin,WI,US-WI,
West Virginia,WV,US-WV,
Wyoming,WY,US-WY,
